"","School.URN","School.Name","Year.6.count.NCMP","Any.other.ethnic.group","Asian","Black","Chinese","Mixed","Not.stated","White","Ethinicity..not.provided","Pupil.Index.Of.Multiple.Deprivation.Score","Pupil.Index.Of.Multiple.Deprivation.Decile","Very.Overweight.Prevalance...."
"236",143191,"School_236","28","*","*","","","*","","22","",6.4,2,"17.9%"
"237",147644,"School_237","23","","","","","","","23","",7.13,3,"8.7%"
"238",146095,"School_238","61","","*","","","*","","59","",6.5,2,"9.8%"
"239",137454,"School_239","7","","","","","","","7","",3.55,5,"14.3%"
"240",113367,"School_240","14","","","","","","*","13","",3.7,5,"0.0%"
"241",141286,"School_241","16","","","","","*","*","14","",6.19,6,"12.5%"
"242",142639,"School_242","15","","","","","","","15","",11.08,3,"0.0%"
"243",113087,"School_243","89","8","*","*","*","7","*","68","",3.7,2,"6.7%"
"244",113222,"School_244","16","","","","","*","","15","",7.14,4,"6.3%"
"245",113223,"School_245","31","","","","","*","","30","",10.88,5,"3.2%"
"246",137963,"School_246","64","","","","","*","*","59","",2.57,5,"18.8%"
"247",113455,"School_247","17","","","","","","","17","",10.49,3,"5.9%"
"248",113265,"School_248","47","","","*","*","","*","41","",3.32,1,"8.5%"
"249",145345,"School_249","13","","","","","","","13","",12.81,4,"15.4%"
"250",136493,"School_250","36","*","","","","*","*","33","",5.85,1,"22.2%"
"251",113430,"School_251","17","","","","*","*","","14","*",3.07,3,"5.9%"
"252",145844,"School_252","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",22.75,4,"33.3%"
"253",140078,"School_253","29","","","","","*","","28","",6.55,5,"20.7%"
"254",113254,"School_254","11","","","","","","","11","",2.57,1,"9.1%"
"255",113234,"School_255","46","*","*","","","*","*","40","",11.08,1,"8.7%"
"256",131108,"School_256","27","*","","","","","*","24","*",6.28,3,"7.4%"
"257",147650,"School_257","27","","","*","","*","*","22","",3.7,2,"3.7%"
"258",113368,"School_258","11","","*","","","*","","9","",13.51,4,"0.0%"
"259",144074,"School_259","17","","","","","","","17","",10.88,4,"0.0%"
"260",143184,"School_260","25","","","","","*","","23","",8.92,3,"16.0%"
"261",113438,"School_261","8","","","","","","","8","",6.43,6,"12.5%"
